,Domain,Site,Notes,Small Mammals ,Birds ,Trees/shrubs ,Forbs/Grasses ,Reptiles ,Amphibians,Beetles ,Mosquitoes 
1,D03,DSNY,Used search protocol for initial sp_list. More work likely needed for completeness. ZB,sp_list- incompete -ZB ,sp_list- largely compete -ZB ,sp_list-waiting email response-ZB,sp_list-waiting for email response-ZB,sp_list-finished search protocol_ list remains incomplete-ZB,sp_list-finished search protocol_ list remains incomplete-ZB,sp_list-finished search protocol_ list remains incomplete-ZB,sp_list-finished search protocol_ list remains incomplete-ZB
2, ,JERC,Working on this site. ZB,sp_list - complete - ZB,sp_list  - complete - ZB,sp_list - complete - regex confirmation warranted ZB,sp_list - complete - regex confirmation warranted ZB,sp_list  - complete - ZB,sp_list  - complete - ZB,complete search protocol- no data - ZB, complete search protocol- no data - ZB
3, ,OSBS,Used site website for lists.  EB,species list finished EB,species list finished EB,species list finished EB,species list finished EB,species list finished EB,species list finished EB,species list finished EB, 
4,D10,CPER,COMPLETE -KL ,sp_list-NEON,sp_list-NEON,sp_list-NEON,sp_list-NEON,sp_list -complete -KL ,sp_list -complete -KL ,sp_list-NEON,sp_list - complete -KL 
5, ,RMNP,COMPLETE -KL,sp_list-NEON,sp_list-NEON,sp_list-NEON,sp_list-NEON,sp_list complete -KL ,sp_list complete -KL ,sp_list-NEON,sp_list-NEON
6, ,STER,Largely complete - ZB,sp_list - complete - ZB,sp_list - complete - ZB,sp_list - complete - ZB,sp_list - complete - ZB,sp_list - complete - ZB,sp_list - complete - ZB,sp_list - not available from contact. - ZB,sp_list - not available from contact. - ZB
7,D01,BART,Working on this site. -KL,Working with site PI's to obtain sp_list data -KL  ,sp_list largely complete - KL,sp_list-NEON,Working with site PI's to obtain sp_list data -KL  ,Working with site PI's to obtain sp_list data -KL  ,sp_list incomplete - KL ,Working with site PI's to obtain sp_list data -KL  ,Working with site PI's to obtain sp_list data -KL  
8, ,HARV,Working on this site - XX ,sp_list-NEON,sp_list-NEON,sp_list-NEON,sp_list-NEON,Follow up email sent. Waiting response from contact - XX ,"sp_list incomplete. Follow-up email sent, waiting response from contact - XX ",contact confirmed that classification is only to family. not entered in list. - XX , 
9, ,PLUM,This site is proving tricky to find data on.  EB, ,"species list offsite, but close. - EB",,"species list offsite, but close.  Also incomplete - EB", , , , 
10,D09,DCFS,Combined data from WOOD and Cottonwood Lake Study Area for this site. - XX,Duplicated from WOOD. Off-site. Complete. -XX,Combined WOOD and Cottonwood. Off-site. Complete. -XX,Combined WOOD and Cottonwood. Off-site. Complete. -XX,Duplicated from WOOD. Largely complete. - XX,Duplicated from WOOD. Largely complete. - XX,Duplicated from WOOD. Largely complete. - XX,Combined WOOD and Cottonwood. Incomplete. (Aquatic species largely complete). - XX,Obtained data from Cottonwood. Largely complete. - XX
11,,NOGP,Working on this site. -KL , ,"off_site, species list complete - ZB",awaiting sp_list from contact -KL ,awaiting sp_list from contact -KL , , , , 
12, ,WOOD,Working on this site. - XX ,sp_list largely complete - XX ,sp_list - complete - XX,sp_list largely complete - XX  ,sp_list largely complete - XX ,sp_list largely complete - XX ,sp_list largely complete - XX , sp_list from off site. incomplete. - XX,sp_list incomplete - XX  
13,D02,BLAN,Working on this site. Contacted site curator. Emailed site research professor-KL ,sp_list largely complete -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list started -KL , ,sp_list started -KL , 
14,,SCBI,"Contact declined data. We'll use regional lists - ZB, KT",, , , , , , , 
15, ,SERC,Largely Complete - ZB,sp_list - complete - ZB,sp_list - complete - ZB,sp_list - complete - ZB,sp_list - complete - ZB,sp_list - complete - ZB,sp_list - complete - ZB,Complete for Leaf Beetles and Lepidoptera - (SERC expert acknowledges lack of Carabid list) - ZB,sp_list - incomplete - ZB
16,D08,CHOC,Working on this site. Waiting for response from contact. - XX , ,sp_list largely complete - XX ,sp_list largely complete - XX ,sp_list largely complete - XX , , , , 
17, ,"DELA - Amistead Selden, Hale Co., AL - Greene Co. - Sawyerville (USACoE), Greensboro - Buckman's Island - Demopolis Wildlife Management Area",Waiting on contacts.- ZB, ,sp_list - complete - XX, ,,sp_list - incomplete - ZB, , , 
18,,TALL,Working on this site. - XX , ,sp_list complete - XX ,sp_list largely complete - XX ,sp_list incomplete - XX ,sp_list complete - XX ,sp_list complete - XX ,sp_list incomplete - XX , 
19,D04,GUAN,Working on this site. -KL ,sp_list complete -KL ,sp_list complete -KL , ,,sp_list complete -KL ,sp_list largely complete -KL , , 
20, ,LAJA,Waiting on contact. - ZB, , , , , , , , 
21,,PONC,Waiting on contact. - ZB, , , , , , , , 
22,D14,CAPL,working on this site. - XX ,"sp_list off-site, incomplete - XX ","sp_list off-site, largely complete - XX ","sp_list off-site, largely complete - XX ","sp_list off-site, largely complete - XX ","sp_list off-site, incomplete - XX ", ,"sp_list off-site, incomplete -XX ", 
23, ,JORN,Working on this site. -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list complete -KL , 
24, ,SRER,Working on this site. Sent email to Director of Research -KL ,sp_list largely complete -KL ,sp_list - incomplete - KL,sp_list complete - KL ,sp_list complete -KL ,sp_list largely complete -KL ,sp_list largely complete -KL ,sp_list started for inverts -KL , 
25,D19,BONA,Working on this site. -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list complete -KL ,sp_list largely completed -KL , 
26, ,DEJU ,Working on this site. -KL, ,sp_list - complete - ZB,,sp_list started -KL , , , , 
27, ,HEAL,Working on this site. -XX ,off-site. complete. -XX ,off-site. complete. - XX ,off-site. complete. - XX  ,off-site. complete. -XX ,off-site. no records. - XX ,off-site. complete. -XX ,off-site. incomplete. - XX , 
28,,POKE,"Use BONA lists for this site. - ZB, KT","off_site, species list complete - ZB","off_site, species list complete - ZB","off_site, species list complete - ZB","off_site, species list complete - ZB","off_site, species list complete - ZB","off_site, species list complete - ZB","off-site, sp_list largely completed - ZB ", 
29,D07,GRSM,Species lists complete. -EB,Species list complete. -EB,Species list complete. -EB,Species list complete. -EB,Species list complete. -EB,Species list complete. -EB,Species list complete. -EB,Species list complete. -EB,Species list complete. - EB
30, ,MLBS,List complete. -EB,List complete according to source. -EB,Species list complete. -EB,Species list complete. -EB,List complete. -EB,List complete. -EB, ,Nothing. -EB,Nothing. -EB
31, ,ORNL,working on this site. - XX ,sp_list complete. - XX ,sp_list complete. - XX ,sp_list complete. - XX ,sp_list complete. - XX ,sp_list complete. - XX ,sp_list complete. - XX ,sp_list incomplete. - XX , 
32,D05,STEI,Contact response minimal. Site VERY close to TREE. - ZB, , ,sp_list- largely complete - ZB, , , , , 
33, ,TREE,"Waiting for reply from contact.  Have data on sensitive species for the site, can get common names only for some of the other species. -EB", , , , , , , , 
34, ,UNDE,Waiting on contact. - ZB, , , , , , , , 
35,D13,FEXF,Waiting on contact. - ZB,"off_site, species list complete - ZB","off_site, species list complete - ZB","off_site, species list complete - ZB","off_site, species list complete - ZB","off_site, species list complete - ZB","off_site, species list complete - ZB",sp_list incomplete - ZB, 
36, ,MOAB,super site complete. - XX,super site complete. - XX ,super site complete. - XX ,super site complete. - XX ,super site complete. - XX ,super site complete. - XX ,super site complete. - XX ,super site complete. - XX ,super site complete. - XX 
37, ,NIWO,working on this site. - XX ,sp_list complete. - XX ,sp_list complete. - XX ,sp_list largely complete. - XX ,sp_list largely complete. - XX ,no records. - XX ,no records. - XX , , 
38,D15,MURR,"Contact declined data. We'll use regional lists - ZB, KT", , , , , , , , 
39, ,ONAQ,"Contact declined data. We'll use regional lists - ZB, KT",,Waiting on contact. Send reminder 7/31 - ZB,Waiting on contact. Send reminder 7/31 - ZB,Waiting on contact. Send reminder 7/31 - ZB, , , , 
40, ,RBUT,"Contact declined data. We'll use regional lists - ZB, KT",sp_list - complete - ZB ,sp_list - complete - ZB,sp_list - largely complete - ZB ,sp_list - largely complete - ZB , , , , 
,***STOP here and return to top***,,,,,,,,,,
41,D11,CLBJ,,,,,,,,,
42, ,OAES,,,,,,,,,
43, ,UOBS,,,,,,,,,
44,D18,BASC,,,,,,,,,
45, ,TOOL,,,,,,,,,
46,D16,ABBY,,,,,,,,,
47, ,THAY
48, ,WREF
49,D12,BOZE
50, ,LOLE
51, ,YELL
52,D17,PSRS
53, ,SOAP
54, ,TEAK
55,D20,OLAA
56, ,PUWI
57, ,PUWU
58,D06,KONA
59,,KONZ
60,,UKFS

, ,
, 
